service_id,date,exception_type
GNE:GONO892:892:S92MF250511:I:2,20250521,1
GNE:GONO892:892:S92MF250511:I:2,20250522,1
GNE:GONO892:892:S92MF250511:I:2,20250523,1
GNE:GONO892:892:S92MF250511:I:2,20250602,1
GNE:GONO892:892:S92MF250511:I:2,20250604,1
GNE:GONO892:892:S92MF250511:I:2,20250605,1
GNE:GONO892:892:S92MF250511:I:2,20250606,1
GNE:GONO892:892:S92MF250511:I:2,20250609,1
GNE:GONO892:892:S92MF250511:I:2,20250611,1
GNE:GONO892:892:S92MF250511:I:2,20250612,1
GNE:GONO892:892:S92MF250511:I:2,20250613,1
GNE:GONO892:892:S92MF250511:I:2,20250616,1
GNE:GONO892:892:S92MF250511:I:2,20250618,1
GNE:GONO892:892:S92MF250511:I:2,20250619,1
GNE:GONO892:892:S92MF250511:I:2,20250620,1
GNE:GONO892:892:S92MF250511:I:2,20250623,1
GNE:GONO892:892:S92MF250511:I:2,20250625,1
GNE:GONO892:892:S92MF250511:I:2,20250626,1
GNE:GONO892:892:S92MF250511:I:2,20250627,1
GNE:GONO892:892:S92MF250511:I:2,20250630,1
GNE:GONO892:892:S92MF250511:I:2,20250702,1
GNE:GONO892:892:S92MF250511:I:2,20250703,1
GNE:GONO892:892:S92MF250511:I:2,20250704,1
GNE:GONO892:892:S92MF250511:I:2,20250707,1
GNE:GONO892:892:S92MF250511:I:2,20250709,1
GNE:GONO892:892:S92MF250511:I:2,20250710,1
GNE:GONO892:892:S92MF250511:I:2,20250711,1
GNE:GONO892:892:S92MF250511:I:2,20250714,1
GNE:GONO892:892:S92MF250511:I:2,20250716,1
GNE:GONO892:892:S92MF250511:I:2,20250717,1
GNE:GONO892:892:S92MF250511:I:2,20250718,1
GNE:GONO892:892:S92MF250511:I:2,20250901,1
GNE:GONO892:892:S92MF250511:I:2,20250903,1
GNE:GONO892:892:S92MF250511:I:2,20250904,1
GNE:GONO892:892:S92MF250511:I:2,20250905,1
GNE:GONO892:892:S92MF250511:I:2,20250908,1
GNE:GONO892:892:S92MF250511:I:2,20250910,1
GNE:GONO892:892:S92MF250511:I:2,20250911,1
GNE:GONO892:892:S92MF250511:I:2,20250912,1
GNE:GONO892:892:S92MF250511:I:2,20250915,1
GNE:GONO892:892:S92MF250511:I:2,20250917,1
GNE:GONO892:892:S92MF250511:I:2,20250918,1
GNE:GONO892:892:S92MF250511:I:2,20250919,1
GNE:GONO892:892:S92MF250511:I:2,20250922,1
GNE:GONO892:892:S92MF250511:I:2,20250924,1
GNE:GONO892:892:S92MF250511:I:2,20250925,1
GNE:GONO892:892:S92MF250511:I:2,20250926,1
GNE:GONO892:892:S92MF250511:I:2,20250929,1
